date,day,month,year,cases,deaths,country,country_code,countryterritoryCode,popData2018,coronavirus,related_queries,trends_title,trends_traffic,cumsum_case,growth_rate
2020-04-18,18,4,2020,36,4,Australia,AU,AUS,24992369.0,32,,"{0: 'Mitch Cronin', 1: 'One World: Together at Home', 2: 'Phantom of the Opera', 3: 'Lindsay Lohan', 4: 'Brisbane weather', 5: 'Fast and Furious', 6: 'iPhone SE 2020', 7: ""Salute Deadpool's pants"", 8: 'Who owns Virgin Australia', 9: 'Carl Williams', 10: 'The band', 11: 'Sergio', 12: 'The King: Eternal Monarch', 13: 'Tyson Stengle', 14: 'Doctor doctor', 15: 'Norman Hunter', 16: 'Sam Heughan', 17: 'Dr. Phil', 18: 'Leighton Meester'}","{0: '50K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '2K+', 17: '2K+', 18: '2K+'}",6533,0.5510485228838206
2020-04-17,17,4,2020,39,0,Australia,AU,AUS,24992369.0,41,,"{0: 'Brian Dennehy', 1: 'Cassie Sainsbury', 2: 'Lachie Hunter', 3: 'Too Hot To Handle cast', 4: 'Scott Morrison', 5: 'Remdesivir', 6: 'Howard Finkel', 7: 'China coronavirus', 8: 'Fiona Apple', 9: 'Fifty Shades of Grey', 10: 'Bindi Irwin', 11: 'Riverdale', 12: 'Ivanka Trump', 13: 'Keiji Fujiwara', 14: 'Peter Dutton', 15: 'Captain Tom Moore', 16: 'GTA 6', 17: 'Angelika Timanina', 18: 'Orlando Brown', 19: 'WA schools'}","{0: '50K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '2K+', 18: '2K+', 19: '2K+'}",6497,0.6002770509465908
2020-04-16,16,4,2020,42,2,Australia,AU,AUS,24992369.0,45,,"{0: 'iPhone SE', 1: 'Brandi Glanville', 2: 'Outer Banks', 3: 'Isabel Lucas', 4: 'WWE', 5: 'Malcolm Turnbull', 6: 'Virgin Australia news', 7: 'Cameron Diaz', 8: 'Al Capone', 9: 'Vince McMahon', 10: 'Jeff Bezos', 11: 'Chelsea Handler', 12: 'Michael Buble', 13: 'NSW schools', 14: 'The Last Dance', 15: 'Tedros Adhanom', 16: 'WWE releases', 17: 'AT1 ASX', 18: 'Rent relief Victoria'}","{0: '100K+', 1: '20K+', 2: '20K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '5K+', 7: '5K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '2K+', 14: '2K+', 15: '2K+', 16: '2K+', 17: '2K+', 18: '2K+'}",6458,0.6503561474140601
2020-04-15,15,4,2020,50,0,Australia,AU,AUS,24992369.0,46,,"{0: 'P.E Nation', 1: 'Joe Biden', 2: 'Amy Schumer son name', 3: ""Mother's Day 2020"", 4: 'Trump WHO', 5: 'Drakes Supermarkets', 6: 'Ricky Gervais', 7: 'Earthquake', 8: 'OnePlus 8', 9: 'Aussie Disposals', 10: 'Annika Smethurst', 11: 'Gita Gopinath', 12: 'Jimmy Webb', 13: 'Katerino', 14: 'Paige Spiranac', 15: 'IMF', 16: 'Kevin Rudd', 17: 'COVID-19 Western Australia', 18: 'Vacation', 19: 'Events'}","{0: '50K+', 1: '20K+', 2: '10K+', 3: '10K+', 4: '5K+', 5: '5K+', 6: '5K+', 7: '5K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '2K+', 17: '2K+', 18: '2K+', 19: '2K+'}",6416,0.7793017456359103
2020-04-14,14,4,2020,44,0,Australia,AU,AUS,24992369.0,47,,"{0: 'Compass', 1: 'Virgin Australia', 2: 'Google Meet', 3: 'Dune', 4: 'Chernobyl', 5: 'Rick May', 6: 'JobKeeper payment ATO', 7: 'Wet market', 8: 'Karl-Anthony Towns', 9: 'Fatberg', 10: 'Reynold Poernomo', 11: 'One Direction', 12: 'Johntravolta', 13: 'Tarvaris Jackson', 14: 'Kyle Larson', 15: 'Afterpay (ASX', 16: 'Singapore coronavirus', 17: 'Tamil New Year 2020', 18: 'Marina abramovic', 19: 'John Conway'}","{0: '50K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '2K+', 19: '2K+'}",6366,0.6911718504555451
2020-04-13,13,4,2020,33,4,Australia,AU,AUS,24992369.0,55,,"{0: 'MasterChef Australia 2020', 1: 'MasterChef', 2: 'Killing Eve', 3: 'Ben Ungermann', 4: 'Tasmania coronavirus', 5: 'The Secrets She Keeps', 6: 'Tom Hanks', 7: 'Fauci', 8: 'Craig Foster', 9: 'Billie Eilish bikini', 10: 'Pew pew iPhone', 11: 'John Anderson', 12: 'Jock Masterchef', 13: 'Qld schools', 14: 'Peter Bonetti', 15: 'Vaisakhi 2020', 16: 'Neymar mum'}","{0: '100K+', 1: '50K+', 2: '20K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '5K+', 7: '5K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '2K+', 13: '2K+', 14: '2K+', 15: '2K+', 16: '2K+'}",6322,0.5219867130654856
2020-04-12,12,4,2020,51,3,Australia,AU,AUS,24992369.0,43,,"{0: 'Tim Brooke-Taylor', 1: 'Easter', 2: 'Happy Easter', 3: 'Stirling Moss', 4: 'Andrea Bocelli', 5: 'Happy Easter message', 6: 'Easter movies', 7: 'Joel McHale', 8: 'Might And Power', 9: 'Easter Monday', 10: 'Julian Assange', 11: 'Colby Cave', 12: 'Easter greetings', 13: 'Gary Jubelin', 14: 'Easter wishes', 15: 'Reese Witherspoon', 16: 'House Rules', 17: 'Tim Lafai', 18: 'Lego Masters', 19: 'Easter images'}","{0: '200K+', 1: '200K+', 2: '50K+', 3: '50K+', 4: '50K+', 5: '20K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '10K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '2K+', 19: '2K+'}",6289,0.8109397360470663
2020-04-11,11,4,2020,86,2,Australia,AU,AUS,24992369.0,38,,"{0: 'Georgia Groome', 1: 'Easter Bunny', 2: 'Krakatoa', 3: 'Cooped Up movie', 4: 'Code 8', 5: 'Kristen Bell', 6: 'Johnny Depp', 7: 'Prisoners', 8: 'AnnaSophia Robb', 9: 'Kenny Dalglish', 10: 'Dredd', 11: 'Moses', 12: 'Easter saturday'}","{0: '50K+', 1: '50K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '5K+', 9: '5K+', 10: '2K+', 11: '2K+', 12: '2K+'}",6238,1.3786470022443091
2020-04-10,10,4,2020,100,2,Australia,AU,AUS,24992369.0,51,,"{0: 'Good Friday Appeal 2020', 1: 'Good Friday 2020', 2: 'Love Wedding Repeat', 3: 'Fish and chips', 4: 'Pete Evans', 5: 'Daniel Craig', 6: 'Trolls World Tour', 7: 'Olivia Munn', 8: ""Royal Children's Hospital Good Friday Appeal"", 9: 'Hot cross buns', 10: 'Hart Island', 11: 'Easter movies', 12: 'UFC 249', 13: 'Jennifer Grey', 14: 'Jesus Christ Superstar', 15: 'Final Fantasy VII Remake', 16: 'Gwyneth Paltrow', 17: 'Good friday meaning', 18: ""Criniti's"", 19: 'What is Good Friday'}","{0: '50K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '10K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",6152,1.625487646293888
2020-04-09,9,4,2020,96,5,Australia,AU,AUS,24992369.0,51,,"{0: 'Bernie Sanders', 1: 'Good Friday', 2: 'Snapchat', 3: 'Adidas', 4: 'Florence Pugh', 5: 'NRL', 6: 'Glenn Fredly', 7: 'Chynna', 8: 'Don Harwin', 9: 'Modern Family', 10: 'Hot cross buns recipe', 11: 'The hunt', 12: 'Amber Heard', 13: 'The good, the bad and the ugly', 14: 'ANU', 15: 'Ashley Harkleroad', 16: 'Nat Fyfe', 17: 'Bloom', 18: 'Maundy Thursday', 19: 'Linda Tripp'}","{0: '50K+', 1: '50K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '20K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",6052,1.5862524785194976
