,date,country_code,0
0,20200326,AU,"{0: '20K+', 1: '20K+', 2: '10K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '2K+', 17: '2K+', 18: '2K+', 19: '2K+'}"
1,20200326,GB,"{0: '500K+', 1: '500K+', 2: '500K+', 3: '200K+', 4: '200K+', 5: '100K+', 6: '100K+', 7: '50K+', 8: '50K+', 9: '50K+', 10: '50K+', 11: '50K+', 12: '20K+', 13: '20K+', 14: '20K+', 15: '20K+', 16: '20K+', 17: '10K+', 18: '10K+'}"
2,20200326,IE,"{0: '20K+', 1: '20K+', 2: '10K+', 3: '5K+', 4: '2K+', 5: '2K+', 6: '2K+', 7: '1K+', 8: '1K+', 9: '1K+'}"
3,20200326,NZ,"{0: '20K+', 1: '10K+', 2: '5K+', 3: '5K+', 4: '5K+', 5: '5K+', 6: '5K+', 7: '2K+', 8: '2K+', 9: '2K+', 10: '2K+', 11: '2K+', 12: '2K+', 13: '2K+', 14: '2K+', 15: '2K+', 16: '2K+', 17: '2K+', 18: '2K+', 19: '2K+'}"
4,20200326,US,"{0: '1M+', 1: '200K+', 2: '200K+', 3: '200K+', 4: '200K+', 5: '100K+', 6: '100K+', 7: '100K+', 8: '50K+', 9: '50K+', 10: '50K+', 11: '50K+', 12: '50K+', 13: '50K+', 14: '50K+', 15: '50K+', 16: '50K+', 17: '50K+', 18: '50K+', 19: '50K+'}"
5,20200326,ZA,"{0: '50K+', 1: '50K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '10K+', 7: '10K+', 8: '5K+', 9: '5K+', 10: '2K+'}"
6,20200327,AU,"{0: '200K+', 1: '50K+', 2: '50K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '20K+', 7: '20K+', 8: '20K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '10K+', 13: '10K+', 14: '10K+', 15: '10K+', 16: '10K+', 17: '5K+', 18: '5K+', 19: '5K+'}"
7,20200327,GB,"{0: '2M+', 1: '500K+', 2: '200K+', 3: '200K+', 4: '100K+', 5: '100K+', 6: '100K+', 7: '50K+', 8: '50K+', 9: '50K+', 10: '50K+', 11: '50K+', 12: '50K+', 13: '50K+', 14: '50K+', 15: '50K+', 16: '20K+', 17: '20K+', 18: '20K+', 19: '20K+'}"
8,20200327,IE,"{0: '200K+', 1: '100K+', 2: '50K+', 3: '50K+', 4: '50K+', 5: '50K+', 6: '20K+', 7: '20K+', 8: '20K+', 9: '20K+', 10: '10K+', 11: '10K+', 12: '10K+', 13: '10K+', 14: '10K+', 15: '10K+', 16: '10K+', 17: '5K+', 18: '5K+', 19: '5K+'}"
9,20200327,NZ,"{0: '10K+', 1: '5K+', 2: '5K+', 3: '2K+', 4: '2K+', 5: '2K+', 6: '2K+', 7: '1K+', 8: '1K+', 9: '1K+'}"
10,20200327,US,"{0: '500K+', 1: '500K+', 2: '500K+', 3: '500K+', 4: '200K+', 5: '200K+', 6: '200K+', 7: '200K+', 8: '200K+', 9: '100K+', 10: '100K+', 11: '100K+', 12: '100K+', 13: '100K+', 14: '100K+', 15: '100K+', 16: '100K+', 17: '100K+', 18: '100K+', 19: '100K+'}"
11,20200327,ZA,"{0: '50K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '20K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+'}"
12,20200328,AU,"{0: '100K+', 1: '100K+', 2: '100K+', 3: '50K+', 4: '50K+', 5: '20K+', 6: '20K+', 7: '20K+', 8: '20K+', 9: '20K+', 10: '20K+', 11: '20K+', 12: '20K+', 13: '20K+', 14: '20K+', 15: '20K+', 16: '20K+', 17: '20K+', 18: '20K+', 19: '20K+'}"
13,20200328,GB,"{0: '200K+', 1: '200K+', 2: '100K+', 3: '100K+', 4: '100K+', 5: '50K+', 6: '50K+', 7: '50K+', 8: '50K+', 9: '20K+', 10: '20K+', 11: '20K+', 12: '20K+', 13: '20K+', 14: '20K+', 15: '20K+', 16: '20K+', 17: '20K+', 18: '20K+', 19: '20K+'}"
14,20200328,IE,"{0: '50K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}"
15,20200328,NZ,"{0: '20K+', 1: '20K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '5K+', 7: '5K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '2K+', 12: '2K+', 13: '2K+', 14: '2K+', 15: '2K+', 16: '2K+', 17: '2K+', 18: '2K+', 19: '1K+'}"
