,date,formattedDate,country_code,trendingSearches_formattedTraffic,trendingSearches_title_query
0,20200325,"Wednesday, 25 March 2020",AU,200K+,Prince Charles
1,20200325,"Wednesday, 25 March 2020",AU,100K+,Bindi Irwin
2,20200325,"Wednesday, 25 March 2020",AU,20K+,Stage 3 lockdown Australia
3,20200325,"Wednesday, 25 March 2020",AU,20K+,Stage 3 restrictions
4,20200325,"Wednesday, 25 March 2020",AU,20K+,Symptoms of coronavirus
5,20200325,"Wednesday, 25 March 2020",AU,20K+,My Secret Terrius
6,20200325,"Wednesday, 25 March 2020",AU,20K+,Taylor Swift
7,20200325,"Wednesday, 25 March 2020",AU,10K+,Bonds
8,20200325,"Wednesday, 25 March 2020",AU,10K+,Houseparty app
9,20200325,"Wednesday, 25 March 2020",AU,10K+,Neville Power
10,20200325,"Wednesday, 25 March 2020",AU,10K+,Tiger
11,20200325,"Wednesday, 25 March 2020",AU,10K+,Hand sanitizers
12,20200325,"Wednesday, 25 March 2020",AU,10K+,Greta Thunberg
13,20200325,"Wednesday, 25 March 2020",AU,10K+,Elective surgery
14,20200325,"Wednesday, 25 March 2020",AU,10K+,New virus in China
15,20200325,"Wednesday, 25 March 2020",AU,5K+,Lion
16,20200325,"Wednesday, 25 March 2020",AU,5K+,Scott Morrison press conference
17,20200325,"Wednesday, 25 March 2020",AU,5K+,ABC live
18,20200325,"Wednesday, 25 March 2020",AU,5K+,Charli D'Amelio
19,20200325,"Wednesday, 25 March 2020",AU,5K+,Blackwell Public School
20,20200326,"Thursday, 26 March 2020",AU,20K+,Powerball tonight
21,20200326,"Thursday, 26 March 2020",AU,20K+,Powerball winner
22,20200326,"Thursday, 26 March 2020",AU,10K+,Qld school closures
23,20200326,"Thursday, 26 March 2020",AU,10K+,New Zealand news
24,20200326,"Thursday, 26 March 2020",AU,10K+,Stonnington
25,20200326,"Thursday, 26 March 2020",AU,10K+,Stage 3 lockdown Victoria
26,20200326,"Thursday, 26 March 2020",AU,10K+,Bugzy Malone
27,20200326,"Thursday, 26 March 2020",AU,10K+,Floyd Cardoz
28,20200326,"Thursday, 26 March 2020",AU,10K+,Qld schools
29,20200326,"Thursday, 26 March 2020",AU,5K+,Fight club
30,20200326,"Thursday, 26 March 2020",AU,5K+,Prince Harry
31,20200326,"Thursday, 26 March 2020",AU,5K+,Mark Zahra
32,20200326,"Thursday, 26 March 2020",AU,5K+,Smiggle
33,20200326,"Thursday, 26 March 2020",AU,5K+,Until tomorrow
34,20200326,"Thursday, 26 March 2020",AU,5K+,Hairdressers
35,20200326,"Thursday, 26 March 2020",AU,5K+,Hairdresser
36,20200326,"Thursday, 26 March 2020",AU,2K+,The post
37,20200326,"Thursday, 26 March 2020",AU,2K+,Stimulus payment
38,20200326,"Thursday, 26 March 2020",AU,2K+,SIA
39,20200326,"Thursday, 26 March 2020",AU,2K+,Iceland
40,20200327,"Friday, 27 March 2020",AU,200K+,Boris Johnson
41,20200327,"Friday, 27 March 2020",AU,50K+,COVID-19 Australia updates
42,20200327,"Friday, 27 March 2020",AU,50K+,Woolworths jobs
43,20200327,"Friday, 27 March 2020",AU,20K+,Mark Blum
44,20200327,"Friday, 27 March 2020",AU,20K+,Ozark
45,20200327,"Friday, 27 March 2020",AU,20K+,Jon Jones
46,20200327,"Friday, 27 March 2020",AU,20K+,Paige Spiranac
47,20200327,"Friday, 27 March 2020",AU,20K+,Footloose
48,20200327,"Friday, 27 March 2020",AU,20K+,Once Upon a Time in Hollywood
49,20200327,"Friday, 27 March 2020",AU,10K+,Scott Morrison press release
50,20200327,"Friday, 27 March 2020",AU,10K+,Madonna
51,20200327,"Friday, 27 March 2020",AU,10K+,Kathmandu
52,20200327,"Friday, 27 March 2020",AU,10K+,Carole Baskin
53,20200327,"Friday, 27 March 2020",AU,10K+,G20
54,20200327,"Friday, 27 March 2020",AU,10K+,Until Tomorrow trend
55,20200327,"Friday, 27 March 2020",AU,10K+,Voting Brisbane 2020
56,20200327,"Friday, 27 March 2020",AU,10K+,Latest Australian news
57,20200327,"Friday, 27 March 2020",AU,5K+,Pearl Jam: Gigaton
58,20200327,"Friday, 27 March 2020",AU,5K+,COVID-19 Victoria Australia
59,20200327,"Friday, 27 March 2020",AU,5K+,Matthew Broderick
60,20200328,"Saturday, 28 March 2020",AU,100K+,Tiger
61,20200328,"Saturday, 28 March 2020",AU,100K+,Lion
62,20200328,"Saturday, 28 March 2020",AU,100K+,Myer
63,20200328,"Saturday, 28 March 2020",AU,50K+,Shark
64,20200328,"Saturday, 28 March 2020",AU,50K+,Dog
65,20200328,"Saturday, 28 March 2020",AU,20K+,Cat
66,20200328,"Saturday, 28 March 2020",AU,20K+,Bear
67,20200328,"Saturday, 28 March 2020",AU,20K+,Queen Elizabeth
